Marca,Anio,value
Total,2019,638600
Nissan,2019,131255
General Motors,2019,99798
Volkswagen,2019,68238
Toyota,2019,49208
KIA,2019,47102
Total,2018,682400
Nissan,2018,312034
General Motors,2018,236069
Volkswagen,2018,157064
Toyota,2018,108761
KIA,2018,94234
Total,2017,744900
Nissan,2017,364557
General Motors,2017,258523
Volkswagen,2017,258523
Toyota,2017,105464
Honda,2017,88195
Total,2016,723800
Nissan,2016,401055
General Motors,2016,308624
Volkswagen,2016,206040
Toyota,2016,104955
FCA Mexico,2016,103907
Total,2015,610700
Nissan,2015,347124
General Motors,2015,256150
Volkswagen,2015,218616
Ford Motor,2015,87523
FCA Mexico,2015,103052
Total,2014,501000
Nissan,2014,291729
General Motors,2014,216958
Volkswagen,2014,195333
Ford Motor,2014,79097
FCA Mexico,2014,88803
Total,2013,502700
Nissan,2013,263477
General Motors,2013,201604
Volkswagen,2013,189991
Ford Motor,2013,85721
FCA Mexico,2013,96303
Total,2012,462200
Nissan,2012,244962
General Motors,2012,186383
Volkswagen,2012,165220
Ford Motor,2012,82238
FCA Mexico,2012,101907
Total,2011,413100
Nissan,2011,224509
General Motors,2011,168503
Volkswagen,2011,153549
Ford Motor,2011,85988
FCA Mexico,2011,95178
Total,2010,371000
Nissan,2010,189518
General Motors,2010,155590
Volkswagen,2010,129650
Ford Motor,2010,86735
FCA Mexico,2010,93609
Total,2009,356300
Nissan,2009,156186
General Motors,2009,138482
Volkswagen,2009,118504
Ford Motor,2009,88692
FCA Mexico,2009,100165
Total,2008,514300
Nissan,2008,212022
General Motors,2008,212378
Volkswagen,2008,138477
Ford Motor,2008,125516
FCA Mexico,2008,136145
